Chronic sore throat	Chronic pharyngitis
Closed fracture shaft of femur	Closed fracture of shaft of femur
Chronic ulcer of lower limb	Chronic ulcer of lower extremity
Chronic ulcer of lower leg	Chronic ulcer of lower extremity
Burn to arm - full thickness	Third degree burn of upper limb
Lacrimal cyst	Lacrimal gland cyst
Cyst of lacrimal gland	Lacrimal gland cyst
Irreversible ischemic colitis	Chronic ischemic colitis
Congenital deformity of ankle	Congenital deformity of ankle joint
Open fracture multiple ribs	Open fracture of multiple ribs
Meningitis due to enterovirus	Enterovirus meningitis
EM - Enteroviral meningitis	Enterovirus meningitis
Closed fracture fibula, head	Closed fracture of head of fibula
Partial thickness burn of toe	Second degree burn of toe
Open fracture of thigh	Open fracture of femur
Open fracture of upper leg	Open fracture of femur
Secondary lymphedema	Chronic acquired lymphedema
Acute T.I.N.	Acute interstitial nephritis
Acute tubulointerstitial disease	Acute interstitial nephritis
AIN - Acute interstitial nephritis	Acute interstitial nephritis
ATIN - Acute tubulo-interstitial nephritis	Acute interstitial nephritis
Acute tubulo-interstitial nephritis	Acute interstitial nephritis
Ectopic parathormone production	Ectopic hyperparathyroidism
Congenital complete cataract	Congenital total cataract
Full thickness burn of abdominal wall	Third degree burn of abdominal wall
Closed fracture of shoulder blade	Closed fracture of scapula
Partial seizures	Partial seizure
Focal seizure	Partial seizure
Local seizure	Partial seizure
Local convulsion	Partial seizure
Coronary embolus	Coronary artery embolism
Coronary embolism	Coronary artery embolism
Nontraumatic tear of anus	Anal fissure
Fissure in ano	Anal fissure
Full thickness burn of foot	Third degree burn of foot
Spasm of accommodation	Ciliary muscle spasm
Accommodative spasm	Ciliary muscle spasm
Full thickness burn of knee	Third degree burn of knee
Cocaine-induced psychotic disorder with delusions	Cocaine delusional disorder
Recurrent dislocation of the shoulder joint	Recurrent dislocation of shoulder region
Recurrent dislocation of shoulder	Recurrent dislocation of shoulder region
Sudoriferous cyst	Sweat gland cyst
Ureteral calculus	Ureteric stone
Ureteral stone	Ureteric stone
Ureteric calculus	Ureteric stone
Ureterolithiasis	Ureteric stone
Calculus of ureter	Ureteric stone
Vaginal ulceration	Vaginal ulcer
Chronic abscess of the parametrium	Chronic abscess of parametrium
Acute gingival inflammation	Acute gingivitis
Myeloma cast nephropathy	Myeloma kidney
Renal hypoplasia	Congenital hypoplasia of kidney
Polycythemia neonatorum	Neonatal polycythemia
Plethora of newborn	Neonatal polycythemia
Partial thickness burn of elbow	Second degree burn of elbow
Closed fracture acetabulum	Closed fracture of acetabulum
Congenital forehead deformity	Congenital deformity of forehead
Herpes genitalis	Genital herpes simplex
High myopia	Severe myopia
Superficial gum ulcer	Superficial gingival ulcer
Gingival erosion	Superficial gingival ulcer
Erosion of gum	Superficial gingival ulcer
Ophthalmia neonatorum	Neonatal conjunctivitis
Partial thickness burn of chest wall	Second degree burn of chest wall
Micropenis	Congenital hypoplasia of penis
Hypoplasia of penis	Congenital hypoplasia of penis
Open dislocation of astragalus	Open dislocation of talus
Extensive superficial corneal vascularization	Corneal pannus
Corrosive esophagitis	Chemical esophagitis
Closed fracture pelvis, ischium	Closed fracture of ischium
Full thickness burn of ear	Third degree burn of ear
Acute PN - pyelonephritis	Acute pyelonephritis
APN - Acute pyelonephritis	Acute pyelonephritis
Acute kidney infection	Acute pyelonephritis
Full thickness burn of breast	Third degree burn of breast
Closed fracture metatarsal	Closed fracture of metatarsal bone
Closed fracture of arm	Closed fracture of upper limb
Hypothyroidism due to TRH deficiency	Hypothalamic hypothyroidism
Ectopic hyperinsulinemia	Ectopic hyperinsulinism
Tumor-induced hyperinsulinemia	Ectopic hyperinsulinism
Hyperinsulinemia due to ectopic tumor source	Ectopic hyperinsulinism
Cadmiosis	Cadmium pneumonitis
LAFB - Left anterior fascicular block	Left anterior fascicular block
Left anterior hemiblock	Left anterior fascicular block
Head - open wound	Open wound of head
Pseudogranulomatous thyroiditis	Subacute thyroiditis
CRAO - Central retinal artery occlusion	Central retinal artery occlusion
CRA - Central retinal artery occlusion	Central retinal artery occlusion
Closed fracture of pelvic rim	Closed fracture of innominate bone
Thyroglossal cyst	Thyroglossal duct cyst
Congenital rectal stricture	Congenital stricture of rectum
Congenital rectal stenosis	Congenital stricture of rectum
Tympanic membrane marginal perforation	Marginal perforation of tympanic membrane
Infantile diarrhea	Toddler diarrhea
Retinal break	Retinal defect
Chronic rhinosinusitis	Chronic sinusitis
Chronic infection of sinus	Chronic sinusitis
Full thickness burn of neck	Third degree burn of neck
Acute edema of lung	Acute pulmonary edema
Pulmonary edema - acute	Acute pulmonary edema
Cerebral cysts	Cerebral cyst
Moderate bipolar I disorder, most recent episode mixed	Moderate mixed bipolar I disorder
Closed fracture of ulna, styloid process	Closed fracture of styloid process of ulna
Mild pre-eclamptic toxemia	Mild pre-eclampsia
PET - Mild pre-eclamptic toxemia	Mild pre-eclampsia
Mild proteinuric hypertension of pregnancy	Mild pre-eclampsia
Open fracture finger distal phalanx	Open fracture of distal phalanx of finger
Partial thickness burn of ear	Second degree burn of ear
Enteric paratyphosis	Salmonella gastroenteritis
Dacryocele	Lacrimal mucocele
Dacryocystocele	Lacrimal mucocele
Lacrimal sac mucocele	Lacrimal mucocele
Lacrimal mucocoele	Lacrimal mucocele
Open fracture of the ulnar shaft	Open fracture of shaft of ulna
Ectopic dentition	Ectopic tooth
Closed fracture of upper arm	Closed fracture of humerus
Mild bipolar I disorder, most recent episode mixed	Mild mixed bipolar I disorder
Diabetes mellitus type II	Type 2 diabetes mellitus
Diabetes mellitus type 2	Type 2 diabetes mellitus
Type II diabetes mellitus	Type 2 diabetes mellitus
Umbilical artery hypoplasia	Congenital hypoplasia of umbilical artery
Full thickness burn of back of hand	Third degree burn of back of hand
Synorchism	Congenital fusion of testis
Fusion of testes	Congenital fusion of testis
Localized gingival enlargement	Gingival polyp
Epulis	Gingival polyp
Open fracture rib	Open fracture of rib
Open fracture of pelvic rim	Open fracture of innominate bone
Diabetes mellitus type I	Type 1 diabetes mellitus
Diabetes mellitus type 1	Type 1 diabetes mellitus
Type I diabetes mellitus	Type 1 diabetes mellitus
Cutaneous ulcer	Skin ulcer
Severe pre-eclamptic toxemia	Severe pre-eclampsia
PET - Severe pre-eclamptic toxemia	Severe pre-eclampsia
Severe proteinuric hypertension of pregnancy	Severe pre-eclampsia
Primary atypical pneumonia due to Mycoplasma pneumoniae	Mycoplasma pneumonia
PAP due to Mycoplasma pneumoniae	Mycoplasma pneumonia
Endemic pneumonia	Mycoplasma pneumonia
Infection by PPLO	Mycoplasma pneumonia
Pneumonia due to PPLO	Mycoplasma pneumonia
Mycoplasma pneumoniae pneumonia	Mycoplasma pneumonia
Mycoplasmal pneumonia	Mycoplasma pneumonia
Pneumonia due to Mycoplasma pneumoniae	Mycoplasma pneumonia
Eaton's agent pneumonia	Mycoplasma pneumonia
Pneumonia caused by Mycoplasma pneumoniae	Mycoplasma pneumonia
Primary atypical pneumonia caused by Mycoplasma pneumoniae	Mycoplasma pneumonia
PAP caused by Mycoplasma pneumoniae	Mycoplasma pneumonia
Pneumonia caused by PPLO	Mycoplasma pneumonia
Hydrocephalus in newborn	Congenital hydrocephalus
Congenital hydrocephaly	Congenital hydrocephalus
Primary hydrocephaly	Congenital hydrocephalus
Primary hydrocephalus	Congenital hydrocephalus
Congenital hydrencephalus	Congenital hydrocephalus
Congenital hydrencephaly	Congenital hydrocephalus
Congenital dilatation of cerebral ventricles	Congenital hydrocephalus
Open fracture of shoulder blade	Open fracture of scapula
Congenital renal calculus	Congenital calculus of kidney
Developmental dislocation of hip	Congenital dislocation of hip
Developmental displacement of the hip	Congenital dislocation of hip
CDH - Congenital dislocation of the hip	Congenital dislocation of hip
Closed fracture clavicle, medial end	Closed fracture of sternal end of clavicle
Eunuchoidism hypogonadism	Male hypogonadism
Primary gonadal failure	Male hypogonadism
Testicular hypogonadism	Male hypogonadism
Eunuchoidism	Male hypogonadism
Testicular failure	Male hypogonadism
Primary male hypogonadism	Male hypogonadism
Eunuchoidism, hypogonadism	Male hypogonadism
Parasternal hernia of Morgagni	Congenital hernia of foramen of Morgagni
Hernia through foramen of Morgagni	Congenital hernia of foramen of Morgagni
Retrosternal hernia	Congenital hernia of foramen of Morgagni
Tidal platelet dysgenesis	Cyclic thrombocytopenia
Familial nephrotic syndrome	Congenital nephrotic syndrome
Radiodermatitis	Radiation dermatitis
Hernia cerebri	Cerebral herniation
Aberrant adrenal gland	Ectopic adrenal gland
Infantile acne	Neonatal acne
Acne neonatorum	Neonatal acne
Full thickness burn of thigh	Third degree burn of thigh
Ectopic fetal tissue	Ectopic fetus
Ectopic foetus	Ectopic fetus
Beer-drinker's cardiomyopathy	Cobalt cardiomyopathy
Vestibular vertigo	Peripheral vertigo
Peripheral vestibular vertigo	Peripheral vertigo
Open fracture of leg	Open fracture of lower limb
Phencyclidine-induced psychotic disorder with delusions	PCP delusional disorder
Phencyclidine (PCP) delusional disorder	PCP delusional disorder
Phencyclidine delusional disorder	PCP delusional disorder
Ectopic testicle	Ectopic testis
Recurrent periodic urticaria	Chronic urticaria
Carotid sinus syndrome	Carotid sinus syncope
Thermoplegia	Heat stroke
Heat apoplexy	Heat stroke
Heat hyperpyrexia	Heat stroke
Closed fracture of leg	Closed fracture of lower limb
Polyp of nasal cavity	Nasal polyp
Polyp in anterior nares	Nasal polyp
Nasal polyp - anterior	Nasal polyp
Nasal polyposis	Nasal polyp
Partial thickness burn of leg	Second degree burn of lower limb
Blister of leg, second degree burn	Second degree burn of lower limb
Burn to leg/foot - blister	Second degree burn of lower limb
Burn to arm - blister	Second degree burn of upper limb
Acute AND chronic dermatitis	Subacute dermatitis
Medial epicondylitis of elbow	Medial epicondylitis
Golfer's elbow	Medial epicondylitis
Medial epicondylitis of elbow joint	Medial epicondylitis
Closed fracture of the ulnar shaft	Closed fracture of shaft of ulna
Sinus of Valsalva aneurysm	Congenital aneurysm of sinus of Valsalva
Partial thickness burn of hand	Second degree burn of hand
Open dislocation lumbar spine	Open dislocation of lumbar vertebra
Open traumatic dislocation ankle joint	Open dislocation of ankle
Open dislocation of phalanx of hand	Open dislocation of finger
Basilar artery narrowing	Basilar artery stenosis
Stenosis of basilar artery	Basilar artery stenosis
Open fracture of neck of humerus	Open fracture of surgical neck of humerus
Pulmonary artery hypoplasia	Congenital hypoplasia of pulmonary artery
Embolic arterial occlusion	Arterial embolism
Arterial embolus	Arterial embolism
Jejunal ulceration	Jejunal ulcer
Partial thickness burn of breast	Second degree burn of breast
Full thickness burn of leg	Third degree burn of lower limb
Burn leg/foot - full thickness	Third degree burn of lower limb
LV hypertrophy	Left ventricular hypertrophy
LV+ - Left ventricular hypertrophy	Left ventricular hypertrophy
LVH - Left ventricular hypertrophy	Left ventricular hypertrophy
Full thickness burn of scalp	Third degree burn of scalp
Nerve damage	Nerve injury
Injuries to nerves, nerve plexuses and roots	Nerve injury
Hepatic portal vein obstruction	Portal vein obstruction
Occlusion of hepatic portal vein	Portal vein obstruction
Laceration of superficial layers of perineal structures	First degree perineal laceration
Obstetrical laceration, first degree	First degree perineal laceration
Gingival cyst	Gingival odontogenic cyst
Antimoniosis	Antimony pneumoconiosis
Gower's muscular dystrophy	Distal muscular dystrophy
Grumbling appendix	Chronic appendicitis
Right fascicular block	Right bundle branch block
RBBB - Right bundle branch block	Right bundle branch block
Congenital cardiac septal defect	Congenital septal defect of heart
Blue diaper syndrome	Tryptophan malabsorption syndrome
Partial thickness burn of back of hand	Second degree burn of back of hand
Parenchymal intracranial abscess	Cerebral abscess
Stenosed aortic valve	Aortic valve stenosis
Aortic stenosis	Aortic valve stenosis
AS - Aortic stenosis	Aortic valve stenosis
Closed fracture rib	Closed fracture of rib
Chronic T.I.N.	Chronic interstitial nephritis
Chronic tubulointerstitial nephritis	Chronic interstitial nephritis
CTIN - Chronic tubulo-interstitial nephritis	Chronic interstitial nephritis
Chronic tubulo-interstitial nephritis	Chronic interstitial nephritis
CIN - Chronic interstitial nephritis	Chronic interstitial nephritis
Neovascularization of retina	Retinal neovascularization
Vasoproliferative retinopathy	Retinal neovascularization
Retinal vascular proliferation	Retinal neovascularization
Congenital malformation of knee	Congenital deformity of knee joint
Congenital knee joint deformity	Congenital deformity of knee joint
Acute nephritic syndrome	Acute nephritis
Partial thickness burn of foot	Second degree burn of foot
Conjunctival deposits	Conjunctival deposit
CPN - Chronic pyelonephritis	Chronic pyelonephritis
LBBB - Left bundle branch block	Left bundle branch block
Charcot's syndrome	Intermittent claudication
Myasthenia angiosclerotica	Intermittent claudication
IC - Intermittent claudication	Intermittent claudication
Cannabis-induced psychotic disorder with delusions	Cannabis delusional disorder
Subtotal congenital cataract	Congenital subtotal cataract
Subacute iridocyclitis	Subacute anterior uveitis
Palatine cyst of papilla	Median palatal cyst
Cyst of palatine papilla	Median palatal cyst
Cyst of the incisive papilla	Median palatal cyst
Full thickness burn of toe(s)	Third degree burn of toe
Sedative, hypnotic AND/OR anxiolytic abuse	Sedative abuse
Tranquillizer abuse	Sedative abuse
Carotid artery narrowing	Carotid artery stenosis
Sarcoidosis of lymph nodes	Lymph node sarcoidosis
Vertebral artery embolus	Vertebral artery embolism
Aberrant spleen	Ectopic spleen
ARF - Acute respiratory failure	Acute respiratory failure
Beta thalassemia syndrome	beta Thalassemia
Closed dislocation of astragalus	Closed dislocation of talus
Closed fracture sternum	Closed fracture of sternum
Nondependent abuse of drugs	Substance abuse
Nondependent abuse of substance	Substance abuse
Harmful substance use	Substance abuse
Open fracture of the radial shaft	Open fracture of shaft of radius
Hematocele of tunica vaginalis testis	Male hematocele
Hematocele	Male hematocele
Recurrent major depressive disorder	Recurrent major depression
Partial thickness burn of knee	Second degree burn of knee
Moderate bipolar I disorder, most recent episode depressed	Moderate depressed bipolar I disorder
Difficulty staying asleep	Middle insomnia
Night waking	Middle insomnia
Keeps waking up	Middle insomnia
Broken sleep	Middle insomnia
Interrupted sleep	Middle insomnia
Fitful sleep	Middle insomnia
Difficulty in sleep maintenance	Middle insomnia
Congenital valvular pulmonic stenosis	Congenital stenosis of pulmonary valve
PV - Congenital pulmonary valve stenosis	Congenital stenosis of pulmonary valve
Aneurysm of aorta	Aortic aneurysm
AA - Aortic aneurysm	Aortic aneurysm
Angelucci's syndrome	Acute atopic conjunctivitis
Critical allergic conjunctivitis syndrome	Acute atopic conjunctivitis
Acute allergic conjunctivitis	Acute atopic conjunctivitis
Acute ethmoiditis	Acute ethmoidal sinusitis
Acute on chronic respiratory failure	Acute-on-chronic respiratory failure
Partial thickness burn of thigh	Second degree burn of thigh
Closed fracture of ulna, coronoid	Closed fracture of coronoid process of ulna
Closed fracture radius, head	Closed fracture of head of radius
Open fracture radial head	Open fracture of head of radius
Interatrial septal defect	Atrial septal defect
ASD - Atrial septal defect	Atrial septal defect
Small intestinal bleeding	Small intestinal hemorrhage
Partial thickness burn of forearm	Second degree burn of forearm
Vesical calculus	Urinary bladder stone
Bladder stone	Urinary bladder stone
Vesicolithiasis	Urinary bladder stone
Bladder calculus	Urinary bladder stone
Calculus of bladder	Urinary bladder stone
Open fracture clavicle, shaft	Open fracture of shaft of clavicle
Apocrine cyst	Apocrine gland cyst
Apocrine cystomatosis	Apocrine gland cyst
Miliary granuloma of tuberculosis	Chronic granulomatous tuberculosis
Mild bipolar I disorder, most recent episode manic	Mild manic bipolar I disorder
Monday fever	Metal fever
Monday morning fever	Metal fever
Metal-fume fever	Metal fever
Metal fume fever	Metal fever
The smothers	Metal fever
Open fracture clavicle, lateral end	Open fracture of acromial end of clavicle
Closed fracture radius, neck	Closed fracture of neck of radius
Chronic ethmoiditis	Chronic ethmoidal sinusitis
Closed fracture of neck of humerus	Closed fracture of surgical neck of humerus
Full thickness burn of chin	Third degree burn of chin
PNI - Peripheral nerve injury	Peripheral nerve injury
SBE	Subacute bacterial endocarditis
Endocarditis lenta	Subacute bacterial endocarditis
SBE - Subacute bacterial endocarditis	Subacute bacterial endocarditis
Partial thickness burn of abdominal wall	Second degree burn of abdominal wall
Open fracture of toe	Open fracture of phalanx of foot
Open fracture of phalanx of toe	Open fracture of phalanx of foot
Mild bipolar I disorder, most recent episode depressed	Mild depressed bipolar I disorder
Adult-onset periodontitis	Adult periodontitis
Full thickness burn of trunk	Third degree burn of trunk
Acute pyometra	Uterine abscess
Ectopia lentis	Congenital ectopic lens
Congenital subluxation of lens	Congenital ectopic lens
Hemorrhagic cerebellum	Cerebellar hemorrhage
Intra-abdominal abscess	Abdominal abscess
Homozygous thalassemia	Thalassemia major
Cerebral arterial embolism	Cerebral embolism
Decapitated migraine	Abdominal migraine
Closed fracture finger distal phalanx	Closed fracture of distal phalanx of finger
Open fracture pelvis, ischium	Open fracture of ischium
Full thickness burn of the thumb	Third degree burn of thumb
Chronic abscess of the broad ligament	Chronic abscess of broad ligament
Open fracture metatarsal	Open fracture of metatarsal bone
Developmental bronchiectasis	Congenital bronchiectasis
Open fracture acetabulum	Open fracture of acetabulum
Meningitis due to salmonella	Salmonella meningitis
Closed fracture shaft of fibula	Closed fracture of shaft of fibula
Cyst of spleen	Splenic cyst
Spleen cyst	Splenic cyst
Alcoholic jealousy	Alcohol paranoia
Alcohol induced paranoia	Alcohol paranoia
Closed fracture of astragalus	Closed fracture of talus
Full thickness burn of forearm	Third degree burn of forearm
Gas bacillus infection	Gas gangrene
Malignant edema	Gas gangrene
Clostridial myositis	Gas gangrene
Clostridial myonecrosis	Gas gangrene
Gas gangrene due to Clostridia	Gas gangrene
Progressive emphysematous necrosis	Gas gangrene
Carotid embolus	Carotid artery embolism
Closed fracture of lower epiphysis of humerus	Closed fracture of condyle of humerus
Closed fracture of articular process of humerus	Closed fracture of condyle of humerus
Congenital small lung	Congenital hypoplasia of lung
Rudimentary lung	Congenital hypoplasia of lung
Congenital pulmonary hypoplasia	Congenital hypoplasia of lung
Intestinal occlusion	Intestinal obstruction
Bowel obstruction	Intestinal obstruction
Obstruction of intestine	Intestinal obstruction
IO - Intestinal obstruction	Intestinal obstruction
Congenital bladder diverticulum	Congenital diverticulum of bladder
Open wound of arm	Open wound of upper limb
Periapical granuloma	Apical granuloma
Dental granuloma	Apical granuloma
Simple chronic serous otitis media	Chronic serous otitis media
Glue ear - serous	Chronic serous otitis media
Otitis media with effusion - serous	Chronic serous otitis media
Chronic secretory otitis media, serous	Chronic serous otitis media
Chronic non-suppurative otitis media with effusion - serous	Chronic serous otitis media
Closed fracture of toe	Closed fracture of phalanx of foot
Closed fracture of phalanx of toe	Closed fracture of phalanx of foot
Abscess of spleen	Splenic abscess
Spleen abscess	Splenic abscess
Congenital hydrocele of tunica vaginalis	Congenital hydrocele
Neonatal purpura	Neonatal thrombocytopenia
Purpura of newborn	Neonatal thrombocytopenia
Moderate bipolar I disorder, most recent episode manic	Moderate manic bipolar I disorder
Chloracne	Chlorine acne
Chronic schizophrenic	Chronic schizophrenia
Pulmonary radiation alveolitis	Radiation pneumonitis
Edema of conjunctiva	Conjunctival edema
Acute lymphangitis of gluteal region	Acute lymphangitis of buttock
Acute osteonecrosis	Acute necrosis of bone
Retinal grouped capillary aneurysms	Retinal telangiectasia
Open traumatic dislocation of hip	Open dislocation of hip
Full thickness burn of ankle	Third degree burn of ankle
Hepatic cyst	Liver cyst
Cyst of liver	Liver cyst
Streak testis	Congenital hypoplasia of testis
Congenital small testis	Congenital hypoplasia of testis
Congenital micro-orchidia	Congenital hypoplasia of testis
Congenital micro-orchidism	Congenital hypoplasia of testis
Open dislocation of toe	Open dislocation of phalanx of foot
Scratch of cornea	Corneal abrasion
CA - Corneal abrasion	Corneal abrasion
Scratch to cornea	Corneal abrasion
Chronic gastric torsion	Chronic torsion of stomach
Open fracture of ulna, coronoid	Open fracture of coronoid process of ulna
Hernia of Bochdalek	Congenital hernia of foramen of Bochdalek
Pleuroperitoneal hernia	Congenital hernia of foramen of Bochdalek
Hernia through foramen of Bochdalek	Congenital hernia of foramen of Bochdalek
Open fracture sternum	Open fracture of sternum
Closed fracture clavicle, shaft	Closed fracture of shaft of clavicle
Full thickness burn of elbow	Third degree burn of elbow
Manganese poisoning	Manganese pneumonitis
Manganic pneumonia	Manganese pneumonitis
Manganic pneumonitis	Manganese pneumonitis
Manganism	Manganese pneumonitis
Open dislocation of spine	Open dislocation of vertebra
Partial thickness burn of chin	Second degree burn of chin
Partial thickness burn of ankle	Second degree burn of ankle
Open fracture of upper arm	Open fracture of humerus
RV hypertrophy	Right ventricular hypertrophy
RVH - Right ventricular hypertrophy	Right ventricular hypertrophy
Heat collapse	Heat syncope
Collapse - heat	Heat syncope
Closed fracture of humerus, shaft	Closed fracture of shaft of humerus
Internal hemorrhoid	Internal hemorrhoids
Vertebral artery narrowing	Vertebral artery stenosis
SCI - Spinal cord injury	Spinal cord injury
Scarring of conjunctiva	Conjunctival scar
Conjunctival scarring	Conjunctival scar
Chronic renal failure syndrome	Chronic renal failure
Chronic uremia	Chronic renal failure
CRF - Chronic renal failure	Chronic renal failure
Adrenal rest	Ectopic adrenal cortex
Appendicitis of a pelvic appendix	Pelvic appendicitis
Endocardial thrombosis	Mural thrombus of heart
Mural thrombosis	Mural thrombus of heart
Neonatal herpes simplex	Congenital herpes simplex
Congenital herpes simplex infection	Congenital herpes simplex
Acute leukemia, disease	Acute leukemia
Chronic leukemia, disease	Chronic leukemia
Congenital basisphenoid hole	Congenital fenestration of basisphenoid bone
Simple cyst of spleen	Congenital cyst of spleen
Serous cyst of spleen	Congenital cyst of spleen
Congenital enlarged adrenal gland	Congenital hypertrophy of adrenal gland
Congenital enlarged aortic valve	Congenital hypertrophy of aortic valve
Congenital enlarged lung	Congenital hypertrophy of lung
Congenital enlarged nasal cavity	Congenital hypertrophy of nasal cavity
Congenital enlarged ovary	Congenital hypertrophy of ovary
Congenital hypertrophy of pulmonic valve	Congenital hypertrophy of pulmonary valve
Congenital enlarged pulmonic valve	Congenital hypertrophy of pulmonary valve
Congenital enlarged testis	Congenital hypertrophy of testis
