terminologyId,feature,name,termType
A000245,component,Metanephrines,pt
A000246,component,ABO & Rh group,pt
A000247,component,Blood bank comment,pt
A000248,component,Carnitine esters,pt
A000249,component,Cells identified,pt
A000250,component,Choriogonadotropin,pt
A000251,component,Collection end date,pt
A000252,component,Collection end time,pt
A000253,component,Collection start date,pt
A000254,component,Collection start time,pt
A000255,component,Histoplasma capsulatum Ag,pt
A000256,component,Hospital number,pt
A000257,component,IgE,pt
A000258,component,Meconium,pt
A000259,component,Pathologist name,pt
A000260,component,Propoxyphene,pt
A000261,component,Reference lab test name,pt
A000262,component,Reference lab test results,pt
A000263,component,Tube number,pt
A000264,component,Urobilinogen,pt
A000265,component,Aspartate aminotransferase,pt
A000266,component,Base deficit,pt
A000267,component,Character,pt
A000268,component,Amphetamines,pt
A000269,component,Barbiturates,pt
A000270,component,Cannabinoids tested for,pt
A000271,component,Opiates tested for,pt
A000272,component,Amphetamine,pt
A000273,component,Tetrahydrocannabinol,pt
A000274,component,Beta-2-Microglobulin,pt
A000275,component,Methadone,pt
A000276,component,Methamphetamine,pt
A000277,component,Phencyclidine,pt
A000278,component,Bilirubin,pt
A000279,component,Tramadol,pt
A000280,component,Chicken droppings Ab,pt
A000281,component,Specimen source,pt
A000282,component,Statement of adequacy,pt
A000283,component,Cytologist,pt
A000284,component,Reviewing cytologist,pt
A000285,component,Pathologist,pt
A000286,component,Recommended follow-up,pt
A000287,component,Cytology study comment,pt
A000288,component,Specimen site,pt
A000289,component,Breaths setting,pt
A000290,component,Breaths,pt
A000291,component,C peptide,pt
A000292,component,Cholecalciferol,pt
A000293,component,Calcitonin,pt
A000294,component,Gas flow,pt
A000295,component,Tidal volume setting,pt
A000296,component,Ventilation mode,pt
A000297,component,Carcinoembryonic Ag,pt
A000298,component,Fibronectin,pt
A000299,component,Acid phosphatase,pt
A000300,component,Beta lactamase organism identified,pt
A000301,component,Cardiolipin Ab,pt
A000302,component,Acetylcholine receptor Ab,pt
A000303,component,Herpes simplex virus 1+2 DNA,pt
A000304,component,Herpes simplex virus Ab,pt
A000305,component,HIV 1 RNA,pt
A000306,component,Insulin,pt
A000307,component,Protein,pt
A000308,component,Fungi,pt
A000309,component,Rubella virus Ab,pt
A000310,component,Cefuroxime,pt
A000311,component,Estriol,pt
A000312,component,Thiamine,pt
A000313,component,Acetone,pt
A000314,component,Polymorphonuclear cells,pt
A000315,component,Cytomegalovirus Ab,pt
A000316,component,Measles virus Ab,pt
A000317,component,Gliadin Ab,pt
A000318,component,Specimen drawn from,pt
A000319,component,Reagin Ab,pt
A000320,component,Turbidity,pt
A000321,component,Oxygen saturation,pt
A000322,component,Histoplasma capsulatum mycelial phase Ab,pt
A000323,component,Histoplasma capsulatum yeast phase Ab,pt
A000324,component,Levofloxacin,pt
A000325,component,Alanine,pt
A000326,component,Arginine,pt
A000327,component,Asparagine,pt
A000328,component,Ceruloplasmin,pt
A000329,component,Citrulline,pt
A000330,component,Glutamate,pt
A000331,component,Glutamine,pt
A000332,component,Glycine,pt
A000333,component,Histidine,pt
A000334,component,Methionine,pt
A000335,component,Ornithine,pt
A000336,component,Proline,pt
A000337,component,Serine,pt
A000338,component,Taurine,pt
A000339,component,Threonine,pt
A000340,component,Tyrosine,pt
A000341,component,Valine,pt
A000342,component,Chloride,pt
A000343,component,Clostridium difficile,pt
A000344,component,Cryptosporidium sp,pt
A000345,component,Cell fractions,pt
A000346,component,Erythrocyte distribution width,pt
A000347,component,Pathologist interpretation,pt
A000348,component,Choriogonadotropin (pregnancy test),pt
A000349,component,Birth date,pt
A000350,component,Chlamydia trachomatis DNA,pt
A000351,component,Epstein Barr virus nuclear Ab,pt
A000352,component,Escherichia coli shiga-like,pt
A000353,component,Gestational age method,pt
A000354,component,Cobalamins,pt
A000355,component,Corticotropin,pt
A000356,component,Neisseria gonorrhoeae DNA,pt
A000357,component,Normetanephrine,pt
A000358,component,Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA,pt
A000359,component,Human papilloma virus 6+11+42+43+44 DNA,pt
A000360,component,Race,pt
A000361,component,Sodium,pt
A000362,component,Tryptase,pt
A000363,component,Age,pt
A000364,component,APOE gene targeted mutation analysis,pt
A000365,component,Creatinine renal clearance,pt
A000366,component,CFTR gene targeted mutation analysis,pt
A000367,component,F5 gene targeted mutation analysis,pt
A000368,component,HFE gene,pt
A000369,component,MTHFR gene targeted mutation analysis,pt
A000370,component,FRAXE gene,pt
A000371,component,t(9;22)(q34,pt
A000372,component,Dehydroepiandrosterone sulfate,pt
A000373,component,Dehydroepiandrosterone,pt
A000374,component,Hereditary pancreatitis gene targeted mutation analysis,pt
A000375,component,Aspergillus niger Ab,pt
A000376,component,Bartonella henselae Ab,pt
A000377,component,Dopamine,pt
A000378,component,Clostridium tetani Ab,pt
A000379,component,Hepatitis D virus Ab,pt
A000380,component,Saccharopolyspora rectivirgula Ab,pt
A000381,component,Mumps virus Ab,pt
A000382,component,Estradiol,pt
A000383,component,Estrogen,pt
A000384,component,Streptolysin O Ab,pt
A000385,component,Estrone,pt
A000386,component,Treponema pallidum Ab,pt
A000387,component,Path report,pt
A000388,component,Ferritin,pt
A000389,component,Folate,pt
A000390,component,Gamma glutamyl transferase,pt
A000391,component,Mycoplasma sp DNA,pt
A000392,component,Gastrin,pt
A000393,component,Hemoglobin,pt
A000394,component,Glucose-6-Phosphate dehydrogenase,pt
A000395,component,Quinupristin+Dalfopristin,pt
A000396,component,Antibiotic XXX,pt
A000397,component,Hepatitis C virus 100+5-1-1 Ab,pt
A000398,component,Hepatitis C virus NS5 Ab,pt
A000399,component,Anaplasma phagocytophilum Ab,pt
A000400,component,Inhibin A,pt
A000401,component,Mycophenolate,pt
A000402,component,Hepatitis C virus Ab band pattern,pt
A000403,component,HIV 1 Ag,pt
A000404,component,Influenza virus A+B Ag,pt
A000405,component,Plasma cells,pt
A000406,component,Cancer Ag 19-9,pt
A000407,component,Epstein Barr virus capsid Ab,pt
A000408,component,Androgen,pt
A000409,component,Blatella germanica Ab,pt
A000410,component,Platelet aggregation,pt
A000411,component,F2 gene,pt
A000412,component,F2 gene targeted mutation analysis,pt
A000413,component,IgA,pt
A000414,component,IgG,pt
A000415,component,IgG subclass 1,pt
A000416,component,IgG subclass 2,pt
A000417,component,IgG subclass 3,pt
A000418,component,IgG subclass 4,pt
A000419,component,IgM,pt
A000420,component,Ketones,pt
A000421,component,Bacteria,pt
A000422,component,Calcium carbonate crystals,pt
A000423,component,Calcium oxalate crystals,pt
A000424,component,Calcium phosphate crystals,pt
A000425,component,Crystals,pt
A000426,component,Eosinophils,pt
A000427,component,Epithelial casts,pt
A000428,component,Oval fat bodies (globules),pt
A000429,component,Granular casts,pt
A000430,component,Hyaline casts,pt
A000431,component,Lactate dehydrogenase,pt
A000432,component,Streptococcus pneumoniae 51 Ab,pt
A000433,component,Cow milk Ab,pt
A000434,component,Parvovirus B19 Ab,pt
A000435,component,Triglyceride,pt
A000436,component,Magnesium,pt
A000437,component,Testosterone,pt
A000438,component,HLA-B27,pt
A000439,component,Meat fibers,pt
A000440,component,Myelin basic protein,pt
A000441,component,Myoglobin,pt
A000442,component,Basophils,pt
A000443,component,Monocytes,pt
A000444,component,Platelets,pt
A000445,component,Promyelocytes,pt
A000446,component,Cystathionine,pt
A000447,component,Norepinephrine,pt
A000448,component,Microscopic exam,pt
A000449,component,Streptococcus pneumoniae 1 Ab,pt
A000450,component,Streptococcus pneumoniae 4 Ab,pt
A000451,component,Streptococcus pneumoniae 3 Ab,pt
A000452,component,Streptococcus pneumoniae 8 Ab,pt
A000453,component,Streptococcus pneumoniae 26 Ab,pt
A000454,component,Nuclear Ab,pt
A000455,component,Streptococcus pneumoniae 14 Ab,pt
A000456,component,Streptococcus pneumoniae 19 Ab,pt
A000457,component,Streptococcus pneumoniae 23 Ab,pt
A000458,component,Parathyrin,pt
A000459,component,Estimated average glucose,pt
A000460,component,Streptococcus pneumoniae 12 Ab,pt
A000461,component,Streptococcus pneumoniae 9 Ab,pt
A000462,component,Streptococcus pneumoniae 56 Ab,pt
A000463,component,SCL-70 extractable nuclear Ab,pt
A000464,component,Phenylketones,pt
A000465,component,Phosphate,pt
A000466,component,von Willebrand factor Ag actual/Normal,pt
A000467,component,Protein C actual/Normal,pt
A000468,component,Protein C Ag actual/Normal,pt
A000469,component,Protein S,pt
A000470,component,Protein S actual/Normal,pt
A000471,component,Protein S Ag actual/Normal,pt
A000472,component,Ubiquinone 10,pt
A000473,component,Collagen crosslinked N-telopeptide,pt
A000474,component,Herpes simplex virus 1+2 Ab,pt
A000475,component,MTHFR gene,pt
A000476,component,Cytomegalovirus DNA,pt
A000477,component,Potassium,pt
A000478,component,Pregnenolone,pt
A000479,component,Progesterone,pt
A000480,component,Prolactin,pt
A000481,component,Mucus,pt
A000482,component,Gamma globulin,pt
A000483,component,Protoporphyrin,pt
A000484,component,Pyridoxine,pt
A000485,component,Renin,pt
A000486,component,Retinol,pt
A000487,component,Sirolimus,pt
A000488,component,Ribonucleoprotein extractable nuclear Ab,pt
A000489,component,Body weight,pt
A000490,component,Haemophilus ducreyi DNA,pt
A000491,component,Enterovirus RNA,pt
A000492,component,Somatotropin,pt
A000493,component,Specific gravity,pt
A000494,component,Karyotype,pt
A000495,component,HIV 1 Ab,pt
A000496,component,Transitional cells,pt
A000497,component,Neisseria gonorrhoeae,pt
A000498,component,Thyroglobulin,pt
A000499,component,Streptococcus pneumoniae 68 Ab,pt
A000500,component,Thyroid stimulating immunoglobulins actual/Normal,pt
A000501,component,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+68 DNA,pt
A000502,component,Periplaneta americana Ab,pt
A000503,component,Thyroxine,pt
A000504,component,Transferrin,pt
A000505,component,Erythrocyte sedimentation rate,pt
A000506,component,HIV 2 Ab,pt
A000507,component,Blasts,pt
A000508,component,Granulocytes,pt
A000509,component,Erythrocyte mean corpuscular volume,pt
A000510,component,Myelocytes,pt
A000511,component,Levetiracetam,pt
A000512,component,Triiodothyronine resin uptake (T3RU),pt
A000513,component,Triiodothyronine,pt
A000514,component,Urate,pt
A000515,component,Natriuretic peptide,pt
A000516,component,Tissue transglutaminase Ab,pt
A000517,component,10-Hydroxycarbazepine,pt
A000518,component,Saccharomyces cerevisiae Ab,pt
A000519,component,Gatifloxacin,pt
A000520,component,HIV 1+2 Ab,pt
A000521,component,Islet cell 512 Ab,pt
A000522,component,Vanillylmandelate,pt
A000523,component,Heterophile Ab,pt
A000524,component,Oxygen inhaled,pt
A000525,component,Cryptococcus sp Ag,pt
A000526,component,Cytomegalovirus Ag,pt
A000527,component,Pregnancy associated plasma protein A,pt
A000528,component,Hemoglobin F,pt
A000529,component,Clarity,pt
A000530,component,Neisseria gonorrhoeae rRNA,pt
A000531,component,Platelet distribution width,pt
A000532,component,Thyroxine free index,pt
A000533,component,von Willebrand factor multimers,pt
A000534,component,Cyclic citrullinated peptide Ab,pt
A000535,component,Liver kidney microsomal 1 Ab,pt
A000536,component,BK virus DNA,pt
A000537,component,Hepatitis C virus genotype,pt
A000538,component,Coagulation thrombin induced,pt
A000539,component,Epstein Barr virus DNA,pt
A000540,component,Platelet mean volume,pt
A000541,component,HEXA gene targeted mutation analysis,pt
A000542,component,Urease,pt
A000543,component,Clue cells,pt
A000544,component,Trichomonas vaginalis,pt
A000545,component,Thyroperoxidase Ab,pt
A000546,component,Viscosity,pt
A000547,component,Coagulation surface induced,pt
A000548,component,Acetaminophen,pt
A000549,component,Anion gap,pt
A000550,component,Width,pt
A000551,component,Specimen weight,pt
A000552,component,Diabetes status,pt
A000553,component,Galactose 1 phosphate uridyl transferase,pt
A000554,component,Linezolid,pt
A000555,component,Colistin,pt
A000556,component,Allergen,pt
A000557,component,Platelet factor 4,pt
A000558,component,HIV protease gene mutations detected,pt
A000559,component,Cytology report,pt
A000560,component,Blood bank consult,pt
A000561,component,Pathology biopsy report,pt
A000562,component,Leukocyte clumps,pt
A000563,component,Erythrocyte casts,pt
A000564,component,Trichomonas sp,pt
A000565,component,Glomerular filtration rate/1.73 sq M,pt
A000566,component,Anabasine,pt
A000567,component,Nornicotine,pt
A000568,component,Cocaine,pt
A000569,component,Buprenorphine,pt
A000570,component,Caffeine,pt
A000571,component,Carbamazepine,pt
A000572,component,Carboxy tetrahydrocannabinol,pt
A000573,component,Clostridium difficile toxin A+B,pt
A000574,component,HFE gene targeted mutation analysis,pt
A000575,component,Actin Ab,pt
A000576,component,Collection method,pt
A000577,component,Platelet factor 4 heparin complex induced Ab,pt
A000578,component,Leukocytes other,pt
A000579,component,Cyclosporine,pt
A000580,component,Candida sp Ab,pt
A000581,component,Oxcarbazepine,pt
A000582,component,Galactomannan Ag,pt
A000583,component,HIV 1 gp40 Ab,pt
A000584,component,Salicylates,pt
A000585,component,Clonazepam,pt
A000586,component,XXX microorganism DNA,pt
A000587,component,Histoplasma capsulatum H Ab,pt
A000588,component,Daptomycin,pt
A000589,component,Chlamydia trachomatis+Neisseria gonorrhoeae DNA,pt
A000590,component,FMR1 gene targeted mutation analysis,pt
A000591,component,TPMT gene targeted mutation analysis,pt
A000592,component,Lidocaine,pt
A000593,component,Meperidine,pt
A000594,component,Methaqualone,pt
A000595,component,Mullerian inhibiting substance,pt
A000596,component,Biotinidase,pt
A000597,component,Branched chain keto-acid dehydrogenase complex,pt
A000598,component,Homocystine,pt
A000599,component,Retinyl palmitate,pt
A000600,component,Thyroglobulin recovery,pt
A000601,component,Number of specimens tested,pt
A000602,component,Number of specimens received,pt
A000603,component,Nicotine,pt
A000604,component,Poikilocytosis,pt
A000605,component,Mixed cellular casts,pt
A000606,component,Phenobarbital,pt
A000607,component,Phenytoin,pt
A000608,component,Theophylline,pt
A000609,component,Valproate,pt
A000610,component,Streptococcus pneumoniae 57 Ab,pt
A000611,component,Treponema pallidum DNA,pt
A000612,component,Alpha-1-Fetoprotein interpretation,pt
A000613,component,Rickettsia rickettsii Ab,pt
A000614,component,Bacterial sialidase,pt
A000615,component,Cryptosporidium parvum Ag,pt
A000616,component,Legionella pneumophila 1 Ag,pt
A000617,component,Betula populifolia Ab,pt
A000618,component,"1,3 beta glucan",pt
A000619,component,Reference lab name,pt
A000620,component,Mycoplasma hominis DNA,pt
A000621,component,HIV 1 & 2 Ab,pt
A000622,component,Chlamydia trachomatis rRNA,pt
A000623,component,Salmonella sp &or Shigella sp identified,pt
A000624,component,Neisseria sp identified,pt
A000625,component,JAK2 gene,pt
A000626,component,Trisomy 18 risk,pt
A000627,component,Trisomy 21 risk,pt
A000628,component,Histoplasma capsulatum M Ab,pt
A000629,component,Human papilloma virus DNA,pt
A000630,component,HIV 1,pt
A000631,component,Complement C1 esterase inhibitor,pt
A000632,component,Complement C3,pt
A000633,component,Insulin dependent diabetes mellitus,pt
A000634,component,Complement C4,pt
A000635,component,Decanoylcarnitine (C10),pt
A000636,component,Decenoylcarnitine (C10:1),pt
A000637,component,Dodecanoylcarnitine (C12),pt
A000638,component,Dodecenoylcarnitine (C12:1),pt
A000639,component,Hexanoylcarnitine (C6),pt
A000640,component,Isovalerylcarnitine+Methylbutyrylcarnitine (C5),pt
A000641,component,Linoleoylcarnitine (C18:2),pt
A000642,component,Methylmalonylcarnitine (C4-DC),pt
A000643,component,Complement total hemolytic CH50,pt
A000644,component,Date of analysis,pt
A000645,component,Multiple pregnancy,pt
A000646,component,Haptoglobin,pt
A000647,component,Influenza virus A Ag,pt
A000648,component,Influenza virus B Ag,pt
A000649,component,Trichomonas vaginalis rRNA,pt
A000650,component,Hemoglobin S,pt
A000651,component,Myeloperoxidase Ab,pt
A000652,component,Proteinase 3 Ab,pt
A000653,component,Secondary diagnosis,pt
A000654,component,Amino acidemias,pt
A000655,component,Endocrine disorders,pt
A000656,component,Fatty acid oxidation defects,pt
A000657,component,Galactosemias,pt
A000658,component,Hemoglobin disorders,pt
A000659,component,Organic acidemias,pt
A000660,component,Sickle cell anemia,pt
A000661,component,Cystic fibrosis,pt
A000662,component,Medium &or short chain acyl-CoA dehydrogenase deficiency,pt
A000663,component,HLA-A+B+C Ab,pt
A000664,component,HLA-DP+DQ+DR Ab,pt
A000665,component,Candida sp rRNA,pt
A000666,component,Fetal lung maturity,pt
A000667,component,Hepatitis B virus surface Ag,pt
A000668,component,Hepatitis C virus Ab Signal/Cutoff,pt
A000669,component,HIV 1+O+2 Ab,pt
A000670,component,Human papilloma virus genotype,pt
A000671,component,Trypsinogen I,pt
A000672,component,Streptococcus agalactiae DNA,pt
A000673,component,Neural tube defect risk,pt
A000674,component,Protein feed time,pt
A000675,component,Gestational age in W,pt
A000676,component,Neural tube defect,pt
A000677,component,Second trimester quad maternal screen,pt
A000678,component,Erythrocyte inclusion bodies,pt
A000679,component,Protein pattern,pt
A000680,component,Acid citrate dextrose,pt
A000681,component,Fasting status,pt
A000682,component,Date and time of pheresis procedure,pt
A000683,component,Newborn screening recommended follow-up,pt
A000684,component,Second trimester triple maternal screen,pt
A000685,component,HIV genotype,pt
A000686,component,Aminocaproate cutoff,pt
A000687,component,Reference lab test identifier and name,pt
A000688,component,First trimester maternal screen with nuchal translucency,pt
A000689,component,Hepatitis C virus core Ag,pt
A000690,component,Borrelia burgdorferi DNA,pt
A000691,component,3-Hydroxyisovalerylcarnitine (C5-OH),pt
A000692,component,3-Hydroxylinoleoylcarnitine (C18:2-OH),pt
A000693,component,3-Hydroxyoleoylcarnitine (C18:1-OH),pt
A000694,component,3-Hydroxypalmitoleylcarnitine (C16:1-OH),pt
A000695,component,3-Hydroxypalmitoylcarnitine (C16-OH),pt
A000696,component,3-Hydroxystearoylcarnitine (C18-OH),pt
A000697,component,Acetylcarnitine (C2),pt
A000698,component,3-Hydroxytetradecanoylcarnitine (C14-OH),pt
A000699,component,Streptococcus agalactiae rRNA,pt
A000700,component,Streptococcus pyogenes rRNA,pt
A000701,component,Aspergillus sp Ab,pt
A000702,component,Blastomyces dermatitidis Ab,pt
A000703,component,XXX blood group Ab,pt
A000704,component,Chromatin Ab,pt
A000705,component,Histoplasma capsulatum Ab,pt
A000706,component,Mycoplasma pneumoniae Ab,pt
A000707,component,Argininosuccinate,pt
A000708,component,Alloisoleucine+Isoleucine+Leucine+Hydroxyproline,pt
A000709,component,Tryptophan,pt
A000710,component,Propionylcarnitine (C3),pt
A000711,component,Octanoylcarnitine (C8),pt
A000712,component,3-Hydroxydecenoylcarnitine (C10:1-OH),pt
A000713,component,Glutarylcarnitine (C5-DC)+3-Hydroxydecanoylcarnitine (C10-OH),pt
A000714,component,Methylglutarylcarnitine (C6-DC),pt
A000715,component,3-Hydroxydodecenoylcarnitine (C12:1-OH),pt
A000716,component,3-Hydroxydodecanoylcarnitine (C12-OH),pt
